Project Name,Package Name,Type Name,Method Name,Code Smell
json-schema,org.everit.json.schema,NumberSchemaTest,smallMultipleOf,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,success,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,success,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,success,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,success,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,longNumber,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema,NumberSchemaTest,toStringExclusiveLimits,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,toStringExclusiveLimits,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,toStringExclusiveKeywordClash,Long Statement
json-schema,org.everit.json.schema,NumberSchemaTest,toStringExclusiveKeywordClash,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,toStringExclusiveKeywordClash,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,toStringExclusiveKeywordClash,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,toStringExclusiveKeywordClash,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveMinimumDoubleBoundary,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,exclusiveMinimumDoubleBoundary,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,tryIntegerTypes,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,tryIntegerTypes,Magic Number
json-schema,org.everit.json.schema,NumberSchemaTest,tryIntegerTypes,Magic Number
json-schema,org.everit.json.schema,ObjectComparatorTest,failingCases,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,toStringToSchemaMap,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,additionalPropertiesOnEmptyObject,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,additionalPropertySchema,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,maxPropertiesFailure,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,maxPropertiesFailure,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,minPropertiesFailure,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,minPropertiesFailure,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleAdditionalProperties,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleSchemaDepViolation,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleSchemaDepViolation,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolations,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolations,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolationsNested,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolationsNested,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolationsNested,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolationsNested,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolationsNested,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolationsNested,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,multipleViolationsNested,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,patternPropertyTranslation,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,patternPropertyOverridesAdditionalPropSchema,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,patternPropertyViolation,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,patternPropsOverrideAdditionalProps,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,propertyDepViolation,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,requiredProperties,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,requiredProperties,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,schemaDepViolation,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,toStringWithDefault,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,schemaPointerIsPassedToValidationException,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,propertyNamesFailure,Long Statement
json-schema,org.everit.json.schema,ObjectSchemaTest,propertyNamesFailure,Magic Number
json-schema,org.everit.json.schema,ObjectSchemaTest,propertyNamesFailure,Magic Number
json-schema,org.everit.json.schema,PointerBubblingTest,rectangleMultipleFailures,Magic Number
json-schema,org.everit.json.schema,ReferenceSchemaTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema,ResourceLoader,getStream,Long Statement
json-schema,org.everit.json.schema,SchemaLocationTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema,StringSchemaTest,maxLength,Magic Number
json-schema,org.everit.json.schema,StringSchemaTest,minLength,Magic Number
json-schema,org.everit.json.schema,StringSchemaTest,multipleViolations,Magic Number
json-schema,org.everit.json.schema,StringSchemaTest,multipleViolations,Magic Number
json-schema,org.everit.json.schema,StringSchemaTest,notRequiresString,Magic Number
json-schema,org.everit.json.schema,StringSchemaTest,equalsVerifier,Long Statement
json-schema,org.everit.json.schema,StringSchemaTest,regexpFactoryIsUsedByLoader,Long Statement
json-schema,org.everit.json.schema,StringToValueConverterTest,testStringToValueWithInteger,Magic Number
json-schema,org.everit.json.schema,TestSupport,countCauseByJsonPointer,Long Statement
json-schema,org.everit.json.schema,TestSupport,assertEmptyCauseStackTraces,Long Statement
json-schema,org.everit.json.schema,ToStringTest,testBooleanSchema,Long Statement
json-schema,org.everit.json.schema,ToStringTest,testArraySchema,Long Statement
json-schema,org.everit.json.schema,ToStringTest,testArraySchema,Magic Number
json-schema,org.everit.json.schema,ToStringTest,testArraySchema,Magic Number
json-schema,org.everit.json.schema,ToStringTest,idKeywordForDraftV6,Long Statement
json-schema,org.everit.json.schema,ToStringTest,nonStringSchemaVersionIsIgnored,Magic Number
json-schema,org.everit.json.schema,ToStringTest,unrecognizedSchemaVersionIsIgnored,Long Statement
json-schema,org.everit.json.schema,ValidatingVisitorTest,createValidatingVisitor,Long Statement
json-schema,org.everit.json.schema,ValidatingVisitorTest,lenientMode_expectedString_actualNumber,Magic Number
json-schema,org.everit.json.schema,ValidatingVisitorTest,lenientMode_expectedInteger_actualString,Magic Number
json-schema,org.everit.json.schema,ValidatingVisitorTest,permittedTypes,Long Statement
json-schema,org.everit.json.schema,ValidatingVisitorTest,triggersCombinedSchemaEvents,Long Statement
json-schema,org.everit.json.schema,PassesTypeCheckTests,createValidatingVisitor,Long Statement
json-schema,org.everit.json.schema,PassesTypeCheckTests,lenientMode_expectedString_actualNumber,Magic Number
json-schema,org.everit.json.schema,PassesTypeCheckTests,lenientMode_expectedInteger_actualString,Magic Number
